ESPN_Rank,Player,ESPN_ID,Team,Color,PTS,REB,AST,STL,BLK,ThreePM,FGPct,FTPct,TOV
1,Nikola Jokic,3112335,,#0E2240,28.7,12.6,10.3,1.3,0.8,1.9,57.0,82.7,3.7
2,Shai Gilgeous-Alexander,4278073,,#007AC1,31.8,4.4,6.4,1.4,0.8,1.7,55.0,89.3,2.1
3,Luka Doncic,3945274,,#552583,32.5,7.7,8.6,1.4,0.5,3.7,47.3,77.2,4.0
4,Giannis Antetokounmpo,3032977,,#00471B,27.7,10.1,5.5,0.9,0.7,0.5,63.6,65.9,3.3
5,Victor Wembanyama,5104157,,#C4CED4,23.7,11.2,2.9,1.0,2.9,1.7,50.1,81.7,2.6
6,Anthony Edwards,4594268,,#0C2340,29.5,5.2,3.7,1.4,0.8,3.4,49.3,78.5,2.8
7,Stephen Curry,3975,,#1D428A,27.2,3.5,4.8,1.1,0.4,4.5,46.8,93.1,2.8
8,LeBron James,1966,,#552583,21.6,5.6,7.0,1.1,0.6,1.5,49.9,75.1,3.0
9,Kevin Durant,3202,,#CE1141,26.3,5.4,4.5,0.8,0.9,2.4,51.0,89.1,3.2
10,Jalen Brunson,3934672,,#006BB6,26.7,3.4,6.1,0.7,0.1,2.9,47.0,84.3,2.3
11,Jalen Williams,4593803,,#007AC1,17.5,4.7,5.4,1.3,0.3,0.8,47.9,83.3,1.9
12,Cade Cunningham,4432166,,#C8102E,25.5,5.8,9.8,1.5,0.9,2.0,46.0,81.0,3.8
13,Evan Mobley,4432158,,#860038,17.6,8.7,3.8,0.9,1.9,1.1,51.6,62.7,2.0
14,Anthony Davis,6583,,#003DA5,20.4,11.1,2.8,1.1,1.6,0.5,50.6,72.8,2.0
15,Donovan Mitchell,3908809,,#860038,28.5,4.5,5.8,1.6,0.3,3.5,48.3,85.2,3.1
16,Devin Booker,3136193,,#1D1160,24.7,3.9,6.1,0.9,0.3,1.7,45.4,86.1,3.3
17,Paolo Banchero,4432573,,#0077C0,21.8,8.5,5.0,0.7,0.7,1.2,45.2,77.2,2.9
18,Jimmy Butler,6430,,#1D428A,20.0,5.6,4.9,1.4,0.2,0.8,51.9,86.4,1.6
19,Jaylen Brown,3917376,,#007A33,29.0,7.1,5.0,1.0,0.4,2.1,48.2,77.8,3.6
20,Kawhi Leonard,6450,,#C8102E,27.8,6.3,3.7,2.0,0.5,2.6,49.6,90.4,2.2
21,Bam Adebayo,4066261,,#98002E,18.6,9.9,2.8,1.0,0.7,1.7,44.9,76.5,1.8
22,Pascal Siakam,3149673,,#002D62,23.9,6.8,3.9,1.1,0.4,1.8,48.3,68.2,2.2
23,James Harden,3992,,#C8102E,24.5,4.9,8.1,1.2,0.4,3.1,42.8,89.2,3.7
24,Chet Holmgren,4433255,,#007AC1,17.2,9.0,1.7,0.6,2.0,1.2,55.3,78.8,1.6
25,Alperen Sengun,4871144,,#CE1141,20.5,9.2,6.3,1.3,1.1,0.5,50.1,69.3,3.2
26,Derrick White,3078576,,#007A33,17.1,4.4,5.8,1.2,1.5,2.9,38.9,89.8,1.8
27,Karl-Anthony Towns,3136195,,#006BB6,19.8,11.8,2.8,0.9,0.6,1.6,47.8,85.5,2.6
28,Tyrese Maxey,4431678,,#006BB6,29.1,4.1,6.8,2.0,0.8,3.4,46.2,89.1,2.4
29,Trae Young,4277905,,#C8102E,19.3,1.5,8.9,1.0,0.1,1.8,41.5,86.3,2.6
30,Scottie Barnes,4433134,,#CE1141,19.1,8.2,5.5,1.4,1.6,0.9,50.1,82.7,2.7
31,Jaren Jackson Jr.,4277961,,#5D76A9,19.4,5.7,2.0,1.1,1.4,1.8,47.6,80.3,2.2
32,Franz Wagner,4566434,,#0077C0,21.3,5.8,3.6,1.1,0.3,1.5,47.9,82.8,1.7
33,Ja Morant,4279888,,#5D76A9,19.4,3.2,8.1,1.0,0.3,1.0,41.0,89.7,3.5
34,Domantas Sabonis,3155942,,#5A2D81,15.8,11.4,4.1,0.9,0.2,0.3,54.3,72.7,2.7
35,De'Aaron Fox,4066259,,#5A2D81,18.8,3.7,6.2,1.2,0.3,1.9,48.1,76.6,2.4
36,Ivica Zubac,4017837,,#C8102E,14.4,11.0,2.2,0.4,0.8,0.0,61.3,70.5,1.9
37,Amen Thompson,4684740,,#CE1141,17.4,7.7,5.2,1.5,0.6,0.3,51.1,77.1,2.6
38,Darius Garland,4396907,,#860038,17.7,2.4,6.7,0.8,0.1,2.3,45.1,86.4,2.9
39,Desmond Bane,4066320,,#0077C0,20.3,4.2,4.1,1.0,0.5,2.1,48.4,91.2,2.1
40,Aaron Gordon,3064290,,#0E2240,17.7,6.2,2.5,0.7,0.2,1.8,50.9,78.9,1.0
41,OG Anunoby,3934719,,#006BB6,16.1,5.3,2.3,1.7,0.7,2.0,47.3,79.4,1.9
42,Julius Randle,3064514,,#0C2340,21.5,6.9,5.4,1.1,0.3,1.5,48.4,81.9,2.6
43,Lauri Markkanen,4066336,,#002B5C,26.7,6.9,2.1,1.0,0.5,2.7,47.7,89.6,1.5
44,Jalen Johnson,4701230,,#C8102E,22.7,10.6,7.9,1.3,0.5,1.5,49.3,77.9,3.4
45,Jarrett Allen,4066328,,#860038,15.4,8.6,1.9,1.0,0.9,0.0,63.7,73.1,1.4
46,Jamal Murray,3936299,,#0E2240,25.7,4.4,7.3,1.0,0.4,3.2,48.4,87.9,2.4
47,Joel Embiid,3059318,,#006BB6,26.6,7.5,3.9,0.6,1.1,1.3,49.5,85.8,3.0
