Team,Full_Name,Championships,MVPs,Hist_WinPct,Season_WinPct_2425,Season_Record_2425,Finals_Appearances,Yrs_Since_Win,Hall_of_Famers,No1_Picks
ATL,Atlanta Hawks,1,2,0.493,0.488,40-42,4,67,23,4
BOS,Boston Celtics,18,10,0.596,0.744,61-21,23,1,38,1
BKN,Brooklyn Nets,0,0,0.424,0.317,26-56,2,9999,14,2
CHA,Charlotte Hornets,0,0,0.426,0.232,19-63,0,9999,5,1
CHI,Chicago Bulls,6,6,0.508,0.476,39-43,6,27,13,2
CLE,Cleveland Cavaliers,1,2,0.473,0.780,64-18,5,9,6,6
DAL,Dallas Mavericks,1,1,0.506,0.476,39-43,3,14,8,2
DEN,Denver Nuggets,1,3,0.509,0.610,50-32,1,2,14,0
DET,Detroit Pistons,3,0,0.474,0.537,44-38,7,21,22,3
GSW,Golden State Warriors,7,3,0.488,0.585,48-34,12,3,20,3
HOU,Houston Rockets,2,4,0.517,0.634,52-30,4,30,14,5
IND,Indiana Pacers,0,0,0.499,0.610,50-32,2,9999,9,0
LAC,Los Angeles Clippers,0,1,0.425,0.610,50-32,0,9999,9,3
LAL,Los Angeles Lakers,17,8,0.592,0.610,50-32,32,5,33,3
MEM,Memphis Grizzlies,0,0,0.437,0.585,48-34,0,9999,3,0
MIA,Miami Heat,3,2,0.525,0.451,37-45,7,12,7,0
MIL,Milwaukee Bucks,2,5,0.528,0.585,48-34,3,4,16,4
MIN,Minnesota Timberwolves,0,1,0.418,0.598,49-33,0,9999,2,2
NOP,New Orleans Pelicans,0,0,0.457,0.256,21-61,0,9999,0,2
NYK,New York Knicks,2,1,0.490,0.622,51-31,8,52,25,4
OKC,Oklahoma City Thunder,2,3,0.543,0.829,68-14,5,0,11,0
ORL,Orlando Magic,0,0,0.471,0.500,41-41,2,9999,8,4
PHI,Philadelphia 76ers,3,7,0.519,0.293,24-58,9,42,21,4
PHO,Phoenix Suns,0,3,0.535,0.439,36-46,3,9999,13,1
POR,Portland Trail Blazers,1,1,0.523,0.439,36-46,3,48,8,4
SAC,Sacramento Kings,1,1,0.457,0.488,40-42,1,74,18,5
SAS,San Antonio Spurs,5,3,0.593,0.415,34-48,6,11,13,3
TOR,Toronto Raptors,1,0,0.472,0.366,30-52,1,6,5,1
UTA,Utah Jazz,0,2,0.532,0.207,17-65,2,9999,8,0
WAS,Washington Wizards,1,1,0.442,0.220,18-64,4,47,18,4
